Front Name,Back Name,Front,Back
00The_Black-Market_Bash.png,,https://raw.githubusercontent.com/Gian-Mecca/Tabletop-Games/refs/heads/main/Cock-Fight!/Arena-Cards/fronts/00The_Black-Market_Bash.png,https://raw.githubusercontent.com/Gian-Mecca/Tabletop-Games/refs/heads/main/Cock-Fight!/Arena-Cards/backs/
01The_Butcher’s_Block.png,,https://raw.githubusercontent.com/Gian-Mecca/Tabletop-Games/refs/heads/main/Cock-Fight!/Arena-Cards/fronts/01The_Butcher’s_Block.png,https://raw.githubusercontent.com/Gian-Mecca/Tabletop-Games/refs/heads/main/Cock-Fight!/Arena-Cards/backs/
02Underground_Brawl.png,,https://raw.githubusercontent.com/Gian-Mecca/Tabletop-Games/refs/heads/main/Cock-Fight!/Arena-Cards/fronts/02Underground_Brawl.png,https://raw.githubusercontent.com/Gian-Mecca/Tabletop-Games/refs/heads/main/Cock-Fight!/Arena-Cards/backs/
03Night_Fight.png,,https://raw.githubusercontent.com/Gian-Mecca/Tabletop-Games/refs/heads/main/Cock-Fight!/Arena-Cards/fronts/03Night_Fight.png,https://raw.githubusercontent.com/Gian-Mecca/Tabletop-Games/refs/heads/main/Cock-Fight!/Arena-Cards/backs/
04Pub_Brawl.png,,https://raw.githubusercontent.com/Gian-Mecca/Tabletop-Games/refs/heads/main/Cock-Fight!/Arena-Cards/fronts/04Pub_Brawl.png,https://raw.githubusercontent.com/Gian-Mecca/Tabletop-Games/refs/heads/main/Cock-Fight!/Arena-Cards/backs/
05The_Hawk’s_Den.png,,https://raw.githubusercontent.com/Gian-Mecca/Tabletop-Games/refs/heads/main/Cock-Fight!/Arena-Cards/fronts/05The_Hawk’s_Den.png,https://raw.githubusercontent.com/Gian-Mecca/Tabletop-Games/refs/heads/main/Cock-Fight!/Arena-Cards/backs/
06The_Rookie_Rumble.png,,https://raw.githubusercontent.com/Gian-Mecca/Tabletop-Games/refs/heads/main/Cock-Fight!/Arena-Cards/fronts/06The_Rookie_Rumble.png,https://raw.githubusercontent.com/Gian-Mecca/Tabletop-Games/refs/heads/main/Cock-Fight!/Arena-Cards/backs/
07The_Slaughterhouse_Showdown.png,,https://raw.githubusercontent.com/Gian-Mecca/Tabletop-Games/refs/heads/main/Cock-Fight!/Arena-Cards/fronts/07The_Slaughterhouse_Showdown.png,https://raw.githubusercontent.com/Gian-Mecca/Tabletop-Games/refs/heads/main/Cock-Fight!/Arena-Cards/backs/
08The_Gentleman’s_Bout.png,,https://raw.githubusercontent.com/Gian-Mecca/Tabletop-Games/refs/heads/main/Cock-Fight!/Arena-Cards/fronts/08The_Gentleman’s_Bout.png,https://raw.githubusercontent.com/Gian-Mecca/Tabletop-Games/refs/heads/main/Cock-Fight!/Arena-Cards/backs/
09Underdog_Arena.png,,https://raw.githubusercontent.com/Gian-Mecca/Tabletop-Games/refs/heads/main/Cock-Fight!/Arena-Cards/fronts/09Underdog_Arena.png,https://raw.githubusercontent.com/Gian-Mecca/Tabletop-Games/refs/heads/main/Cock-Fight!/Arena-Cards/backs/
10The_Bloodbath.png,,https://raw.githubusercontent.com/Gian-Mecca/Tabletop-Games/refs/heads/main/Cock-Fight!/Arena-Cards/fronts/10The_Bloodbath.png,https://raw.githubusercontent.com/Gian-Mecca/Tabletop-Games/refs/heads/main/Cock-Fight!/Arena-Cards/backs/
11Barnyard_Brawl.png,,https://raw.githubusercontent.com/Gian-Mecca/Tabletop-Games/refs/heads/main/Cock-Fight!/Arena-Cards/fronts/11Barnyard_Brawl.png,https://raw.githubusercontent.com/Gian-Mecca/Tabletop-Games/refs/heads/main/Cock-Fight!/Arena-Cards/backs/
